Series Name,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Age population, age 03, male",6971786.5,7111571.5,7243226.5,7402095.5,7574785.5,7735658.5,7885057,8022724.5,8138265,8257458.5,8415594.5,8593384.5,8747739.5,8895607.5,9094321.5,9305776.5,9517304,9740813.5,9914546,10117524,10316474,10471595,10703621,11017215.5,11313511,11539771,11765764.5,12019874.5,12235157,12450942.5,12617416,12713571.5,12822348,12899851,12996345,13104740.5,13184739.5,13288542,13415683.5,13510384.5,13583483,13663218.5,13743147.5,13882771.5,14053390.5,14090686,14008123,13918835,13782866,13601170.5,13456025.5,13389729.5,13417800,13394887.5,13298384.5,13205723.5,13057439,12740401,12555286,12614440.5,12457198,12319494,12241256,11963645,11764452.5,11711968
"Age population, age 04, female",6290088,6434012.5,6564465,6687342.5,6836345,6996103.5,7146219,7290617,7428105.5,7545956.5,7665208,7817914.5,7987423,8133880,8272807,8458021,8650568.5,8842748,9040073,9185906,9355743.5,9522331.5,9655341,9858221,10126659,10379072.5,10584688.5,10797901.5,11033690.5,11237686.5,11444930,11596743,11686808.5,11806747,11883517,11945686.5,12015491.5,12059392,12113784,12181386.5,12236950,12290890.5,12349427,12418423,12545175.5,12710096,12772709.5,12704800,12611233,12490922.5,12340267.5,12219163,12161629.5,12186770.5,12161555.5,12079091,12020407,11912346.5,11635017,11472526,11545416,11427775.5,11326554.5,11279775,11048006.5,10887464.5
"Age population, age 04, male",6733464,6889071,7027768,7158562,7316405.5,7482891,7637512.5,7786185,7926936.5,8045450.5,8165995.5,8323148.5,8499566,8654629.5,8804256,9005249,9217522,9430442.5,9654728.5,9831041,10036700.5,10236691,10393929,10627875,10942642,11239940,11467634,11695149.5,11950890,12168193.5,12386164,12554201.5,12652402.5,12763574,12842409.5,12940934.5,13052094.5,13134352.5,13240201.5,13368987,13465480.5,13540714.5,13621240.5,13702130.5,13844551,14016153,14055242.5,13974649,13886041,13753717.5,13576172.5,13433096,13368178,13397856.5,13376300,13280177.5,13189470.5,13043290.5,12726127.5,12540530.5,12601511.5,12446449,12306797,12227873.5,11950370.5,11750925.5
"Age population, age 05, female",6081159,6228499,6370902.5,6500120.5,6621967,6765681,6919770,7068450,7214171.5,7352650,7470589.5,7588136.5,7738548,7907034,8053337,8192983,8377292,8569345,8760687.5,8958462.5,9105663.5,9275429,9442771.5,9577306,9781100,10049807.5,10302721,10509408.5,10724014.5,10961325,11167275.5,11375800,11529359,11621901,11743152,11822166,11887350.5,11959660.5,12006132,12062816.5,12132726.5,12190877.5,12246297.5,12306447.5,12378636.5,12506931.5,12673706,12738340,12671653,12581768,12465503.5,12317208.5,12197885,12142298.5,12168953.5,12144376.5,12063935.5,12007285.5,11899251.5,11621875.5,11461351,11536132,11417013.5,11315405.5,11267862.5,11035133
"Age population, age 05, male",6518024.5,6678319.5,6832446.5,6969888,7099610,7252138,7413034.5,7566433,7716758,7858884,7977842,8097133.5,8252558,8428617.5,8584243.5,8735342,8936276.5,9148878.5,9361736.5,9587107,9765164.5,9971027.5,10171928.5,10330733.5,10565651,10880713,11178431.5,11407057,11635777.5,11892764.5,12111658.5,12330524,12499809,12599942,12711980,12792491,12893288.5,13006159,13090133.5,13197348,13327483.5,13425676.5,13501566,13582907.5,13666299,13809623,13982510.5,14023126,13943236.5,13857817.5,13729131.5,13553595.5,13411983.5,13348717.5,13379637,13358471.5,13264178.5,13175361.5,13029085.5,12711775.5,12528052.5,12590829,12434217.5,12294124,12214949,11937106.5
"Age population, age 06, female",5873194,6040729.5,6186612.5,6327706,6455804.5,6573411,6712474,6865092.5,7014377.5,7160350,7298407.5,7414526,7530043,7679392.5,7847144.5,7993538,8132332,8315836.5,8506732,8698070.5,8896173.5,9043015.5,9212979.5,9380962.5,9516341,9720427,9989134.5,10242361,10449982.5,10665731.5,10904275.5,11111073.5,11320593.5,11475724,11569313.5,11692103,11773439.5,11840630,11914889.5,11963217.5,12021819.5,12093803,12153138,12209904.5,12272742,12346334,12476266,12644503.5,12709892.5,12646291,12559815.5,12445520.5,12298804.5,12181239.5,12127054,12154209.5,12131309,12052643.5,11995997,11887825,11612228.5,11453496,11526926,11407498.5,11305029.5,11256357
"Age population, age 06, male",6300113,6481297.5,6640193.5,6793016.5,6929347.5,7054676.5,7202473.5,7362097,7516555,7667630.5,7809681.5,7927220,8044914.5,8199788.5,8375732.5,8532071.5,8682931.5,8883698,9095732.5,9309100.5,9535201,9713122,9919329,10120956.5,10280632,10515883,10830948,11128891,11358312,11588002.5,11845998.5,12065467.5,12285052.5,12455561.5,12556332.5,12669554,12751919.5,12854074.5,12968181.5,13053237,13161538,13292917,13391508.5,13468028,13551414,13635629.5,13780063.5,13953968.5,13994969.5,13917812.5,13835471.5,13708488,13534317,13394276.5,13332234.5,13363487,13343861,13251246.5,13162363,13015899,12700349.5,12518386.5,12579745.5,12422808.5,12282338,12202586.5
"Age population, age 07, female",5658357,5845470,6011745.5,6156571,6296720,6421318.5,6535274,6673269,6826385,6975859.5,7121495.5,7257910.5,7372324,7487163,7635993,7803656,7949216,8087503,8269982,8460771,8652289,8849631.5,8996573,9166889,9335213.5,9471000.5,9675241.5,9943983.5,10197607.5,10406042,10622743,10861680,11069126,11279564.5,11435125.5,11529914,11654309,11737073,11805720.5,11881253,11931028,11991221.5,12063985,12124291,12183169,12247056.5,12322001.5,12453103,12621669.5,12689343,12628484,12543540.5,12430446,12285170,12168780.5,12115024,12143500.5,12122007,12043315,11986481.5,11879699.5,11605664,11445882,11518944.5,11398654.5,11295127
"Age population, age 07, male",6072871.5,6275353,6455329.5,6613160,6765028.5,6897629.5,7019109,7165949.5,7326490.5,7481596,7632574.5,7773250.5,7889342.5,8006645.5,8161381.5,8337644,8493512,8644199,8844270,9056478,9270252.5,9495751,9673821.5,9880406,10082383,10242447,10477843,10792898,11091133,11321243.5,11551757,11809996.5,12029948.5,12250299.5,12421003.5,12522679.5,12637245.5,12720661.5,12823743,12938530,13024403.5,13133657.5,13265156,13364106,13442233,13526198,13611357,13756604.5,13930541.5,13973617,13899010,13818015,13692096.5,13519271.5,13380328,13318637.5,13351140,13332866,13240190,13151103,13006031.5,12692064.5,12509043.5,12570010,12412599.5,12271529.5
"Age population, age 08, female",5447104.5,5637452.5,5823606,5989101.5,6133319.5,6270644.5,6392327.5,6505747,6644519,6798074,6947539,7092016,7227142,7341220.5,7455995.5,7605049.5,7772087.5,7917315,8055042.5,8237574,8428579.5,8619507.5,8816720.5,8964013,9134569.5,9303041,9439132.5,9643567.5,9912521,10166569.5,10375701,10592661,10831903.5,11039960,11250431,11406633.5,11502640.5,11627912,11711628,11781111.5,11857562.5,11908446,11969078,12042414.5,12104274.5,12163828,12228678.5,12304496,12435736.5,12605943,12675624,12615869,12531762,12419715,12275330,12159231,12106551.5,12136104.5,12114469,12035558.5,11979827,11874254,11599319,11439275.5,11511443,11390218
"Age population, age 08, male",5850815,6055305,6256856,6436026.5,6593203.5,6741968.5,6871390,6992342.5,7140247.5,7301543,7456742,7606662.5,7746120,7861950,7979312.5,8134411.5,8310157,8465764.5,8615926,8816084.5,9028522.5,9241696.5,9467040.5,9645398.5,9852165.5,10054236,10214549,10450094,10765298,11063869.5,11294602.5,11525314,11783792,12004296,12224603,12395803,12498515,12613766.5,12697852,12801370,12916639.5,13003196.5,13112427.5,13244030.5,13344157.5,13422637.5,13507275,13593072.5,13738260.5,13913694,13958696,13885122,13804896,13679991.5,13508052,13369398.5,13308783.5,13342354,13323930,13231043,13143080.5,12999246,12684406.5,12501142,12561463,12403445
"Age population, age 09, female",5245762.5,5429358,5619054,5804680,5969816.5,6111805.5,6246813,6368304.5,6482835.5,6622410.5,6776296,6925095.5,7068768.5,7203853.5,7318180.5,7433551,7582395,7749311.5,7894230,8032319.5,8215215,8405829,8596754,8794176.5,8941760,9112449.5,9281069.5,9417463.5,9622207,9891444,10145904.5,10355170.5,10572333.5,10811914.5,11019864.5,11230638,11387587.5,11484202,11610006.5,11694182.5,11764233,11841350.5,11892382.5,11953308.5,12027745,12089968.5,12150156,12215574,12291378,12423899,12595583.5,12665943,12606729.5,12523359.5,12411921,12267678,12152435,12100631.5,12129952,12108025,12030013.5,11975253.5,11868797,11593626.5,11432858,11504160.5
"Age population, age 09, male",5641407,5837127.5,6040975,6241955.5,6420701,6575346,6721483.5,6850642.5,6972846,7121701,7283308.5,7437797,7586822.5,7726145.5,7842155,7960034.5,8114804,8290297,8445422,8595773,8796142,9008020.5,9221054.5,9446496.5,9625033.5,9831836,10033979.5,10194539,10430353.5,10745799,11044741.5,11275594,11506508.5,11765333,11985720,12206294.5,12378169.5,12481372.5,12597025,12681374.5,12785187,12900858,12987279.5,13096498.5,13228941,13329212.5,13408152.5,13493216,13578896.5,13725292,13902164,13947845.5,13874821.5,13795342,13671078.5,13499328.5,13361578.5,13301878,13335240.5,13316549,13224596,13137644,12992958,12677922.5,12494084,12553721.5
"Age population, age 10, female",5044551.5,5229531,5412650,5601964.5,5787335,5950563.5,6090634.5,6225621.5,6348293,6463833,6603983.5,6757495,6905787,7049619.5,7185080,7300138.5,7415587,7564542,7731271.5,7876614,8015243.5,8197892,8388569.5,8579749.5,8777357,8925109.5,9095923.5,9264721,9401477,9606551.5,9876090.5,10130531,10339918,10557346.5,10796706.5,11004846,11216121.5,11373414.5,11470419.5,11596449.5,11680969,11751471.5,11828543.5,11879709,11941506,12016125.5,12078793,12139377,12204675,12281572.5,12415360,12587493,12658164,12599513.5,12516597,12405192,12261669.5,12147185.5,12095147,12124133,12102956,12025796,11970185,11863442,11587702.5,11426282
"Age population, age 10, male",5433577,5629647.5,5824888,6028302.5,6228960,6405509.5,6557906.5,6703904,6834282,6957504.5,7106856,7267956.5,7421754,7570771.5,7710318,7826901,7944622.5,8099271,8274308,8429610,8580274.5,8780148,8991899,9205049,9430559.5,9609155.5,9815996,10018259,10179156,10415296,10731034,11029947.5,11260934,11492147.5,11750765,11971330.5,12192387,12364541.5,12468036.5,12583810,12668355.5,12772445,12887876,12974225,13084137.5,13216600,13317185,13396433,13481315,13568052.5,13715693.5,13893019.5,13939054,13866637.5,13787657.5,13663491.5,13492530,13355602,13295724,13328799.5,13310895,13219834.5,13132083.5,12987157,12671622.5,12487230.5
"Age population, age 11, female",4653723.5,5028875.5,5213389,5396160,5585238.5,5768848,5930316.5,6070441.5,6206517,6330123,6446435,6586378,6739495,6888051,7032322,7168543,7283754,7399476.5,7548343,7715486,7861390,7999879.5,8182622.5,8373561,8564933,8762599,8910479.5,9081432,9250492,9387637,9593067,9862514,10116957,10326573.5,10543751.5,10783205.5,10991799,11203292,11360831,11458023.5,11584263,11669128.5,11739498,11816584,11868570,11930484.5,12005460.5,12068458,12128854.5,12195212,12273376.5,12407586,12579919,12651038,12592784.5,12509838,12399106.5,12256329.5,12141591.5,12089204.5,12118903,12098542,12020492,11964550,11857402.5,11581240.5
"Age population, age 11, male",4991740.5,5422554.5,5618158,5812988,6016105,6214731.5,6389189.5,6541507.5,6688543.5,6819751.5,6943698,7092649,7253113.5,7407018,7556324.5,7696508,7812979,7930724.5,8084959.5,8260167.5,8415829,8566043,8765804.5,8977684.5,9190918.5,9416384,9595020,9801938,10004446.5,10165748.5,10402259.5,10717906,11016815.5,11248046.5,11479031.5,11737726,11958713,12179938.5,12352252,12455831,12571706,12656479.5,12760284,12875557,12962571,13072471,13205159.5,13305983.5,13385005.5,13470892.5,13558862.5,13706929.5,13884484.5,13931019,13859063,13780126.5,13656698.5,13486553,13349461.5,13289315,13323143,13306089.5,13214224.5,13126210.5,12980861.5,12664923
"Age population, age 12, female",4336935,4638253,5012231,5196326.5,5378860,5566295.5,5748205.5,5909734,6050799,6187600.5,6312213.5,6428463,6568098.5,6721622.5,6870719.5,7015896,7152274.5,7267853.5,7383552.5,7532931,7700687.5,7846367.5,7985027,8168069.5,8359197,8550602,8748271.5,8896286.5,9067487,9236884,9374494,9579852,9849222.5,10103832,10313092.5,10530340.5,10770243.5,10979027.5,11190671,11348274.5,11445632.5,11572131.5,11656693.5,11726939.5,11804900,11856923.5,11919154,11994412,12057075,12118668.5,12186485,12265112,12399505.5,12572241.5,12643681.5,12585289,12503069,12393153,12250008,12134805,12083260.5,12113879,12092357.5,12013862,11957932,11850658
"Age population, age 12, male",4573326.5,4981104,5410861,5605968.5,5800501.5,6001698,6198259,6372669,6525764.5,6673253.5,6805577,6929203,7077523.5,7238308,7392651.5,7542852,7682908.5,7799509.5,7916811.5,8071330.5,8247015,8402029,8552168,8752115.5,8964080,9177226.5,9402593,9581291,9788456.5,9991347,10153146.5,10389600.5,10705165.5,11004220.5,11235112,11466144.5,11725226.5,11946342,12167637,12339914.5,12443543,12559577,12643956.5,12747495.5,12863463.5,12950407,13060501,13193363.5,13293821,13373948.5,13461206,13549637,13697916,13875903.5,13922830.5,13850845,13772687,13650131.5,13479752,13342328.5,13283062.5,13317832.5,13299765,13207557,13119423.5,12973855
"Age population, age 13, female",4253993,4320969.5,4621184,4993884,5177670,5358642,5544396.5,5726371.5,5888519.5,6029953.5,6168172,6292737,6408726,6549045.5,6703263,6853545,6998886,7135697.5,7251163.5,7367551.5,7517755.5,7685053.5,7830852.5,7969941,8153188.5,8344283.5,8535628,8733299.5,8881609.5,9053190,9223082.5,9360621.5,9565915.5,9835469,10089445.5,10298727.5,10516577,10756624,10965537.5,11177113.5,11334718,11432353,11558222,11642390.5,11713752,11791586,11843882,11906372,11981000,12045207,12108725,12177069,12255875,12390759.5,12563764.5,12634794.5,12577288.5,12496087.5,12385522,12241632,12127556,12077264.5,12106144,12083891.5,12006169.5,11950664.5
"Age population, age 13, male",4437755,4562639,4969194,5397685.5,5592435.5,5785084.5,5984145,6180723,6355457,6508396,6657737,6789708.5,6912638,7061698.5,7223192,7378945,7529007,7669300.5,7785224.5,7903022.5,8058338.5,8232937,8387765.5,8538244,8738293.5,8950050,9162984.5,9388262,9567284.5,9774932,9978376,10140121.5,10376512,10692217.5,10990651.5,11221520.5,11453055,11712198.5,11933347,12154480,12326644.5,12430423,12545783.5,12629688.5,12734117,12849852,12936945.5,13047184,13179393.5,13281218,13363096.5,13450851.5,13539488,13688265.5,13866572.5,13913240,13842184,13765072,13642050,13471122.5,13334847,13276831.5,13310112.5,13291468.5,13199761.5,13111836.5
"Age population, age 14, female",4141102.5,4236528.5,4303126,4602058.5,4973555,5155762.5,5335006,5520890,5703024.5,5864917.5,6008417.5,6146528.5,6270702,6387780,6529057.5,6684879.5,6835307.5,6981184.5,7117635,7233934.5,7351491.5,7500937.5,7668230,7814516.5,7953903,8137031,8327950,8519231,8717147.5,8865968,9038194.5,9207827,9345312.5,9550969,9819525.5,10073378,10283499,10501530,10741650.5,10950398,11161773,11319581,11416179,11541207.5,11626878,11697904,11775914,11828437.5,11889853.5,11966601.5,12033504,12097659,12166138,12245598.5,12380802,12553004.5,12625127,12568987.5,12486687,12374880,12232568.5,12120288.5,12067385.5,12095077,12074629.5,11998106.5
"Age population, age 14, male",4328255,4426192,4550316,4955284.5,5382665.5,5575443.5,5765755.5,5964999,6161269.5,6334897.5,6490882.5,6639768.5,6770796.5,6895128.5,7045362,7209074.5,7364659,7515144,7654307,7770949,7890060,8043662.5,8217862,8373128.5,8523787.5,8723457.5,8934795.5,9147526.5,9373133,9552860.5,9761257.5,9964458,10126145.5,10362837,10677582.5,10975819.5,11207368,11438983.5,11698083,11918962.5,12139795.5,12312018.5,12414734.5,12529222,12614366.5,12718356.5,12834120,12921312.5,13030486,13164512.5,13268713,13351159.5,13439052.5,13528317.5,13677439.5,13855105.5,13902874,13833176.5,13755198.5,13631195,13461825.5,13327295,13267048.5,13299364,13282100.5,13191248.5
"Age population, age 15, female",4021718,4122525.5,4217252.5,4283297,4581144,4950115,5130399,5309880,5495400,5676459.5,5841190.5,5984471.5,6121926.5,6247561.5,6365945,6509425,6665317,6816390,6961565,7098956,7216765,7333168.5,7482527,7650346.5,7796924.5,7936151,8118968,8309724.5,8501313,8699782.5,8849508.5,9021292.5,9190702.5,9328806,9533112.5,9801413.5,10056351,10266690.5,10484817.5,10724597,10932969.5,11144478.5,11300565,11395825.5,11522860,11607884.5,11679003,11757159,11807996.5,11872356,11952850,12020536.5,12084765,12154091,12233967,12367958.5,12541568.5,12615462,12557612.5,12473399.5,12363756.5,12223970.5,12107873,12053237,12083766,12065152.5
"Age population, age 15, male",4212982,4315847,4412798.5,4535738,4939448,5363925,5553977,5744732,5942936,6136871.5,6315121,6470522,6618077,6751292,6877449.5,7031047,7194523.5,7350773,7499521,7639634,7758182.5,7874729,8027713.5,8202449.5,8357876,8507978,8706966,8917922.5,9131104.5,9357603.5,9538408.5,9746382,9949348.5,10111557,10346983,10661401,10960493,11192127,11423708.5,11682362.5,11902767.5,12123583.5,12294105.5,12395461.5,12511620.5,12596051,12699954.5,12815692,12901239,13012920,13150184.5,13255017,13337503,13426144,13515805.5,13663882,13842869.5,13892331.5,13821217,13741634.5,13619692,13452718.5,13314893,13253201,13287787,13271909.5
